player_id,salary,season,season_end,season_start,team
plumlmi01,12500000,2017-18,2018,2017,Atlanta Hawks
poeltja01,2703960,2016-17,2017,2016,Toronto Raptors
poeltja01,2825640,2017-18,2018,2017,Toronto Raptors
pondequ01,2225479,2013-14,2014,2013,Memphis Grizzlies
pondequ01,3146068,2014-15,2015,2014,New Orleans Pelicans
pondequ01,3382023,2015-16,2016,2015,New Orleans Pelicans
pondequ01,3617978,2016-17,2017,2016,New Orleans Pelicans
pondequ01,3853931,2017-18,2018,2017,Chicago Bulls
porteot01,4278000,2013-14,2014,2013,Washington Wizards
porteot01,4470480,2014-15,2015,2014,Washington Wizards
porteot01,4662960,2015-16,2016,2015,Washington Wizards
porteot01,5893981,2016-17,2017,2016,Washington Wizards
porteot01,24773250,2017-18,2018,2017,Washington Wizards
portibo01,1391160,2015-16,2016,2015,Chicago Bulls
portibo01,1453680,2016-17,2017,2016,Chicago Bulls
portibo01,1516320,2017-18,2018,2017,Chicago Bulls
porzikr01,4131720,2015-16,2016,2015,New York Knicks
porzikr01,4317720,2016-17,2017,2016,New York Knicks
porzikr01,4503600,2017-18,2018,2017,New York Knicks
poweldw01,507336,2014-15,2015,2014,Dallas Mavericks
poweldw01,845059,2015-16,2016,2015,Dallas Mavericks
poweldw01,8375000,2016-17,2017,2016,Dallas Mavericks
poweldw01,9003125,2017-18,2018,2017,Dallas Mavericks
powelno01,650000,2015-16,2016,2015,Toronto Raptors
powelno01,874636,2016-17,2017,2016,Toronto Raptors
powelno01,1471382,2017-18,2018,2017,Toronto Raptors
poythal01,38903,2016-17,2017,2016,Philadelphia 76ers
poythal01,35381,2016-17,2017,2016,Indiana Pacers
poythal01,778668,2017-18,2018,2017,Indiana Pacers
pressph01,816482,2014-15,2015,2014,Boston Celtics
pressph01,172739,2015-16,2016,2015,Philadelphia 76ers
pressph01,111444,2015-16,2016,2015,Phoenix Suns
pressph01,35000,2016-17,2017,2016,Golden State Warriors
priceaj01,62552,2014-15,2015,2014,Phoenix Suns
pricero01,1265977,2013-14,2014,2013,Orlando Magic
pricero01,1316809,2014-15,2015,2014,Los Angeles Lakers
pricero01,1499187,2015-16,2016,2015,Phoenix Suns
pricero01,2557545,2016-17,2017,2016,Oklahoma City Thunder
pricero01,465143,2016-17,2017,2016,Phoenix Suns
pricero01,2442455,2017-18,2018,2017,Oklahoma City Thunder
prigipa01,1591350,2013-14,2014,2013,New York Knicks
prigipa01,1662961,2014-15,2015,2014,Houston Rockets
prigipa01,981348,2015-16,2016,2015,Los Angeles Clippers
prigipa01,1050961,2016-17,2017,2016,Houston Rockets
princta01,7235955,2013-14,2014,2013,Memphis Grizzlies
princta01,7707865,2014-15,2015,2014,Detroit Pistons
princta01,1499187,2015-16,2016,2015,Minnesota Timberwolves
purviro01,161280,2017-18,2018,2017,Orlando Magic
qizh01,815615,2017-18,2018,2017,Houston Rockets
quartti01,96406,2017-18,2018,2017,Houston Rockets
rabbiv01,950000,2017-18,2018,2017,Memphis Grizzlies
radulmi01,300000,2014-15,2015,2014,Los Angeles Clippers
radulmi01,96100,2014-15,2015,2014,Minnesota Timberwolves
radulmi01,300000,2015-16,2016,2015,Los Angeles Clippers
radulmi01,300000,2016-17,2017,2016,Los Angeles Clippers
radulmi01,252043,2017-18,2018,2017,Los Angeles Clippers
randlch01,297311,2016-17,2017,2016,Philadelphia 76ers
randlch01,243860,2016-17,2017,2016,New York Knicks
randlju01,2997360,2014-15,2015,2014,Los Angeles Lakers
randlju01,3132240,2015-16,2016,2015,Los Angeles Lakers
randlju01,3267120,2016-17,2017,2016,Los Angeles Lakers
randlju01,4149242,2017-18,2018,2017,Los Angeles Lakers
randoan01,1750000,2013-14,2014,2013,Denver Nuggets
randoan01,1825359,2014-15,2015,2014,Orlando Magic
randosh01,1227985,2014-15,2015,2014,Denver Nuggets
randoza01,17800000,2013-14,2014,2013,Memphis Grizzlies
randoza01,16500000,2014-15,2015,2014,Memphis Grizzlies
randoza01,9638555,2015-16,2016,2015,Memphis Grizzlies
randoza01,10361445,2016-17,2017,2016,Memphis Grizzlies
randoza01,12307692,2017-18,2018,2017,Sacramento Kings
rathaxa01,46080,2017-18,2018,2017,Memphis Grizzlies
redicjj01,6300000,2013-14,2014,2013,Los Angeles Clippers
redicjj01,6583500,2014-15,2015,2014,Los Angeles Clippers
redicjj01,6867000,2015-16,2016,2015,Los Angeles Clippers
redicjj01,7377500,2016-17,2017,2016,Los Angeles Clippers
redicjj01,23000000,2017-18,2018,2017,Philadelphia 76ers
reedda01,815615,2017-18,2018,2017,Phoenix Suns
reedwi02,947276,2015-16,2016,2015,Brooklyn Nets
reedwi02,1015696,2016-17,2017,2016,Miami Heat
reedwi02,1471382,2017-18,2018,2017,Chicago Bulls
ricegl02,400000,2014-15,2015,2014,Washington Wizards
richaja01,6204250,2013-14,2014,2013,Philadelphia 76ers
richaja01,6601125,2014-15,2015,2014,Philadelphia 76ers
richajo01,525093,2015-16,2016,2015,Miami Heat
richajo01,874636,2016-17,2017,2016,Miami Heat
richajo01,1471382,2017-18,2018,2017,Miami Heat
richama01,1439880,2016-17,2017,2016,Sacramento Kings
richama01,1504560,2017-18,2018,2017,Toronto Raptors
richaqu01,2808600,2013-14,2014,2013,Orlando Magic
richaqu01,1399507,2013-14,2014,2013,Toronto Raptors
ridnolu01,4320000,2013-14,2014,2013,Milwaukee Bucks
ridnolu01,2750000,2014-15,2015,2014,Orlando Magic
riverau01,2339040,2013-14,2014,2013,New Orleans Pelicans
riverau01,2439840,2014-15,2015,2014,Los Angeles Clippers
riverau01,3100000,2015-16,2016,2015,Los Angeles Clippers
riverau01,11000000,2016-17,2017,2016,Los Angeles Clippers
